event_id,event_description,start_tstamp,confirmed_tstamp,created_tstamp,closed_tstamp,event_type,event_subtype,location,latitude,longitude,number_of_responders,lanes_affected
MDOT_CHART_4aff02b300110095003f0be8b3035daa,Action Event @ BWI Parking,,,2003-10-21 06:58:06-04,2003-11-26 18:27:23-05,accidentsAndIncidents,incident,BWI Parking,39.181837,-76.6721233,0.0,
MDOT_CHART_4fffe16700a60095003f04e897035daa,Incident @ I-95 PRIOR MD 202[Vehicle Fire],,,2003-10-21 17:26:49-04,2003-10-21 18:23:39-04,accidentsAndIncidents,vehicle on fire,I-95 PRIOR MD 202,38.9165449,-76.8514124,6.0,1.0
MDOT_CHART_89ff153200d70096003f05e89f035daa,"Incident @ N/B I-97 AT MD 100[Collision, Personal Injury]",,,2003-10-22 15:13:05-04,2003-10-22 15:59:36-04,accidentsAndIncidents,incident,N/B I-97 AT MD 100,39.1523262,-76.6448707,4.0,1.0
MDOT_CHART_0aff378a01e50096003f05e897035daa,Incident @ I-270 N. OF SHADY GROVE RD[Debris In Roadway],,2003-10-22 16:17:01-04,2003-10-22 16:14:56-04,2003-10-22 16:26:23-04,obstruction,debris on roadway,I-270 N. OF SHADY GROVE RD,39.11329,-77.1901202,2.0,
MDOT_CHART_9aff47fb01f40096003f05e897035daa,"Incident @ MD 320 AT SLIGO AVE[Collision, Fatality]",,2003-10-22 17:23:45-04,2003-10-22 17:21:40-04,2003-10-22 21:01:59-04,accidentsAndIncidents,accident,MD 320 AT SLIGO AVE,38.9916345,-77.0102066,8.0,6.0
MDOT_CHART_8000323c00f80096003f16e83d035daa,Congestion Event @ I-895 BALTIMORE HARBOR TUNNEL,,2003-10-22 17:36:41-04,2003-10-22 17:36:47-04,2003-10-22 18:42:47-04,trafficConditions,traffic congestion,I-895 BALTIMORE HARBOR TUNNEL,39.2280297,-76.6247338,0.0,
MDOT_CHART_19004d6f01f90096003f05e897035daa,Disabled Vehicle Event @ I-495 AT MD 187,,2003-10-22 17:41:20-04,2003-10-22 17:39:16-04,2003-10-22 18:28:26-04,accidentsAndIncidents,disabled vehicle,I-495 AT MD 187,39.0150292,-77.1184085,1.0,
MDOT_CHART_d1ff165a00fb0097003f07e897035daa,"Incident @ I-95 AT MD 414[Collision, Property Damage]",,,2003-10-23 12:00:02-04,2003-10-23 12:08:41-04,accidentsAndIncidents,accident,I-95 AT MD 414,38.8083393,-76.9706175,4.0,1.0
MDOT_CHART_0dff9e0d01fd0097003f05e897035daa,Incident @ I-495 PAST I-95[Debris In Roadway],,,2003-10-23 12:07:10-04,2003-10-23 12:25:06-04,obstruction,debris on roadway,I-495 PAST I-95,39.0215605,-76.9519441,3.0,1.0
MDOT_CHART_4900776800fd0097003f06e89f035daa,"Incident @ MD 702 AT MIDDLEBOROU[Collision, Personal Injury]",,2003-10-23 12:11:18-04,2003-10-23 12:09:04-04,2003-10-23 12:58:57-04,accidentsAndIncidents,accident,MD 702 AT MIDDLEBOROUGH RD,39.3022296,-76.4435454,5.0,4.0
MDOT_CHART_2e003adb00fd0097003f17e83d035daa,Incident @ I-95 MM 54.3 @ McCOMAS ST ON[Disabled In Roadway],,,2003-10-23 12:13:14-04,2003-10-24 01:26:01-04,accidentsAndIncidents,disabled vehicle,I-95 MM 54.3 @ McCOMAS ST ON-RAMP,39.2623792,-76.5862546,1.0,
MDOT_CHART_98ff05f000190098003f8ee833035daa,Action Event @ test,,,2003-10-23 14:09:49-04,2003-10-23 14:14:22-04,accidentsAndIncidents,incident,test,39.2950883,-77.0518891,3.0,
MDOT_CHART_caff091c001b0098003f8ee833035daa,Congestion Event @ test,,,2003-10-23 14:14:49-04,2003-10-23 14:17:26-04,trafficConditions,traffic congestion,test,39.2574241,-77.0092159,0.0,
MDOT_CHART_80ff0ad1001b0098003f8ee833035daa,Disabled Vehicle Event @ test,,,2003-10-23 14:17:49-04,2003-10-23 14:20:48-04,accidentsAndIncidents,disabled vehicle,test,39.1004923,-76.6903032,1.0,
MDOT_CHART_fffeb0c701220098003f05e897035daa,Congestion Event @ I-495 PRIOR TO MD 355,,2003-10-23 14:49:58-04,2003-10-23 14:47:51-04,2003-10-23 19:37:32-04,trafficConditions,traffic congestion,I-495 PRIOR TO MD 355,39.015328,-77.1000148,0.0,
MDOT_CHART_f9feb2b801290098003f05e897035daa,"Incident @ MD 5  AT BEECH RD[Collision, Personal Injury]",,2003-10-23 15:20:42-04,2003-10-23 15:18:35-04,2003-10-24 18:27:23-04,accidentsAndIncidents,accident,MD 5  AT BEECH RD,38.8278657,-76.9280209,19.0,7.0
MDOT_CHART_b4ffd240013c0098003f05e897035daa,Incident @ US 50 AT MD 197[Debris In Roadway],,2003-10-23 16:38:50-04,2003-10-23 16:36:43-04,2003-10-23 17:01:19-04,obstruction,debris on roadway,US 50 AT MD 197,38.9522996,-76.742986,1.0,0.0
MDOT_CHART_93ff4ed000ec0098003f8de833035daa,Action Event @ MD 648 @ WELLHAM,,2003-10-24 05:11:59-04,2003-10-24 05:12:38-04,2003-10-24 13:29:10-04,accidentsAndIncidents,incident,MD 648 @ WELLHAM,39.1049978,-76.5519956,1.0,
MDOT_CHART_89ff02c500370099003f8ee833035daa,Disabled Vehicle Event @ test,,,2003-10-24 10:29:27-04,2003-10-24 23:32:23-04,accidentsAndIncidents,disabled vehicle,test,39.1911022,-76.9452984,1.0,
